Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,,,,,,,,,,
Approve,,IDMC - Internal Displacement Updates|Excluded datasets from clustering|IDMC - Internally displaced persons,data series|excluded|data series,Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC)|Internal Displacement Monitoring Centre (IDMC),1|0|252,290,e2d04da3-0c06-48cc-8a0b-686a003641fa,Zimbabwe - Internal Displacements Updates (IDU) (event data),,,,,,,,,,,,,,
Exclude,,Excluded datasets from clustering|UNOSAT - Flood and Landslide Extents|,excluded|excluded|excluded,United Nations Satellite Centre (UNOSAT),0|367|55,none|0|26|134,8ba31a17-e632-4923-a654-e1feba4c680b,Satellite detected water extents between 25 and 29 April 2025 over South Sudan,,,,,,,,,,,,,,
Exclude,,Excluded datasets from clustering|GRID3 - Settlement Extents,excluded|data series,GRID3 (Geo-Referenced Infrastructure and Demographic Data for Development),0|1,none|0|277,44af30e6-2f86-48f1-adad-7d14aecfec93,GRID3 COD - Settlement Names v4.0,,,,,,,,,,,,,,
Exclude,These are the old archived ones.  Exlcude.,WorldPop - Spatial Distribution of Population|Excluded datasets from clustering,data series|excluded,WorldPop,700|0,0,049804ab-7dae-4174-8921-5ce22b7b0b3d|f6af3ef1-874d-4f1b-97bd-6bb4e986d5aa|cf1fe8e8-ad23-4b42-a7b3-c248475ad01d|a4f5d4bd-bf32-42b8-989c-0a082f1099dc|996b30ec-672e-4d74-b777-a7ce4374c5ce|909acde0-8bca-4dbd-b5b6-f173c0467dbc|df820d92-2623-4bd5-9a3f-6616fa204df2|87452969-64e4-4ec6-9e36-e6c95ff6ec98|1a850c23-2f64-4c4a-bf1e-7dd5070c9c00|2c21a0ee-3883-466e-828e-a6666b769863|beb4c1c9-b191-4917-9fea-7d819956fdbb|8bd1576f-d3f0-459e-affd-cf739b20e611|aa19631a-fd0e-4a97-9eb5-863a88c7275d|36ce7af3-f8f3-4198-8c75-06e2ee2ee0bb|85f1939f-09ab-49e9-84bd-1da34565ad1e,French Guiana - Population Density,Guernsey - Population Density,Micronesia (Federated States of) - Population Density,Cook Islands - Population Density,Gabon - Population Density,Bulgaria - Population Density,Antigua and Barbuda - Population Density,Djibouti - Population Density,Bahamas - Population Density,Hungary - Population Density,Curaçao - Population Density,Central African Republic - Population Density,Barbados - Population Density,Cyprus - Population Density,Panama - Population Density
