Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,
Approved,,IDMC - Internal Displacement Updates|IDMC - Internally displaced persons|Excluded datasets from clustering,data series|data series|excluded,Internal Displacement Monitoring Centre (IDMC),1|252|0,290,04b0c3e2-a949-4167-a869-012991b75bae,Türkiye - Internal Displacements Updates (IDU) (event data),
Exclude,,Excluded datasets from clustering|UNOSAT - Flood and Landslide Extents|,excluded|excluded|excluded,United Nations Satellite Centre (UNOSAT),0|367|55,0,d97ebc02-d3c3-40aa-8b5e-11ed1928e8e6|f8807821-8960-445a-816d-475cfa5f204b,"Flood impact assessment in Mokwa Town, Niger Local Government Area, Niger State, Nigeria as of 2 June 2025","Flood impact analysis in Mokwa Town, Niger Local Government Area, Niger State, Nigeria as of 2 June 2025"
Exclude,,Excluded datasets from clustering|UNOSAT - Damage Assessment,excluded|excluded,United Nations Satellite Centre (UNOSAT),0|41,none|0|28,3ec0d408-c110-4401-bb5d-9c5f385bac15,UNOSAT Live Web Map - M 7.7 Sagaing Earthquake in Myanmar & Thailand,
Exclude,,Excluded datasets from clustering|UNOSAT - Damage Assessment Overview Map|,excluded|clean|excluded,United Nations Satellite Centre (UNOSAT),0|28|55,none|0|72|134,685ae533-63a8-4cf4-be46-fb30a735d887,UNOSAT Gaza Strip Comprehensive Damage Assessment - 04 February 2025,
Approved,,WorldPop - Spatial Distribution of Population|Excluded datasets from clustering,data series|excluded,WorldPop,700|0,330,59b0d318-966d-4688-a547-c5126903eea2,Kosovo - Spatial Distribution of Population (2015-2030),
