Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,
Approved,,IATI - Current IATI aid activities,data series,International Aid Transparency Initiative,242,53,a0bb6104-b1c4-482c-9ed1-34a86b031b2b,Bouvet Island - Current IATI Aid Activities,,,,
Approved,,IDMC - Internal Displacement Updates,data series,Internal Displacement Monitoring Centre (IDMC),1,290,95dcda1d-eebd-4da2-9552-dcb5100161ee,Indonesia - Internal Displacements Updates (IDU) (event data),,,,
Approved,,UN Peace and Security Data Hub - Peace and Security Data,data series,United Nations Peace and Security Data Hub|United Nations Peace and Security Data Hub,1,296,3e0a22b0-b4a0-4be2-a34b-f95e0fe78d14,Peace and Security Pillar: United Nations Security Council Voting Data for Adopted Resolutions Since 1946,,,,
Approved,,Humanitarian Outcomes - Aid Worker Security,data series,Humanitarian Outcomes,6,287,21dff2f8-dbeb-4391-9133-d521844e19a1|2d631ee7-fbb7-4820-96e2-da99be33cfd7|82a13011-c451-44b6-979e-66092bba3ee4|d3712c73-b814-4a39-9b6d-597e49005883|206e435d-a907-4263-a121-bd8c7113da5e,Global - Aid Worker Security Database,State of Palestine - Aid Worker Security Database,Honduras - Aid Worker Security Database,Guatemala - Aid Worker Security Database,El Salvador - Aid Worker Security Database
Approved,,CLEAR Global - Languages,data series,CLEAR Global (previously Translators without Borders)|CLEAR Global (previously Translators without Borders),27,61,a9eee028-0fbd-47dc-9a36-90b16d386f0f,Democratic Republic of the Congo: Languages,,,,
Approved,,WorldPop - Age and Gender Population Structures,data series,WorldPop,238,335,96764cb2-8ce9-4bfd-8980-44ec7ed68d71|9a8f081d-526a-44de-8c00-22a954219e3c|68455d6b-95ed-48ed-8d01-7a1666b58a4a,Kiribati - Age and Gender Structures (2015-2030),Russian Federation - Age and Gender Structures (2015-2030),United States of America - Age and Gender Structures (2015-2030),,
