OCHA ROMENA - Administrative Boundaries,
OCHA Middle East and North Africa (ROMENA),
32a30960-0ad5-46fc-9de0-10b41c565f09,Egypt - Administrative Boundaries
a3d24a8d-9769-4aff-b765-242144de0e58,Libya - Admin Level 0 (International) Boundaries
efde86b9-6c86-4d52-86a5-48a7897bcb52,Libya - Admin Level 1 Boundaries
9a733b0e-4f06-4123-84cf-8f44c16a108f,Libya - Admin Level 2 Boundaries
176fdde7-a68f-479e-988b-8f3afc7b9df4,IRQ Administrative Boundaries (layers 0-2)
