"UNHCR - WASH Knowledge, Attitudes and Practices survey",
UNHCR - The UN Refugee Agency,
2f1e7929-9760-4926-8038-e6413f9c9172,"Bangladesh - WASH Knowledge, Attitudes and Practices survey - 2023"
11a57823-887a-4670-8826-152b900353a7,"Bangladesh - WASH Knowledge, Attitudes and Practices survey - 2022"
4eb5da18-9d1a-46b5-8cdf-d901e1d85d14,"Bangladesh - WASH Knowledge, Attitudes and Practices survey - 2021"
2910ac50-7d28-44f3-8f1b-5e870b0bbd27,"Bangladesh - WASH Knowledge, Attitudes and Practices survey - 2020"
70e2a234-74b0-4086-a374-230e2b10f10a,"Bangladesh - WASH KAP Survey in  Rohingya Cox’s Bazar, November 2019"
