OCHA - Global Humanitarian Overview by Year,
OCHA HQ,
b34f5621-359b-4d64-8398-aed4b095f882,Global Humanitarian Overview 2025
6cb35657-975e-46a0-99a7-a558eddb924f,Global Humanitarian Overview 2024
c1ae7da3-56a2-4cb8-bc95-71fb7da1de4b,Global Humanitarian Overview 2023
5f7e5d5f-3136-4b2e-af5e-f1c9daf1f8cc,Global Humanitarian Overview 2022
ef54bde5-4411-4859-b88a-5653bba19f38,Global Humanitarian Overview 2021
