"Copernicus Global Human Settlement Layer (GHSL), country data",
69d3643e-de51-486b-8123-9dceb219e71d,San Marino: Copernicus Global Human Settlement Layer (GHSL)
9c91b180-372c-4496-ae81-3a55833405c2,El Salvador: Copernicus Global Human Settlement Layer (GHSL)
895bafce-1522-4d21-b72f-e764853be308,Sierra Leone: Copernicus Global Human Settlement Layer (GHSL)
4eb8ebdc-be77-4bfb-841f-837ddc722eae,Solomon Islands: Copernicus Global Human Settlement Layer (GHSL)
4752f87e-7292-426e-9e6a-67f513db1d03,Svalbard and Jan Mayen Islands: Copernicus Global Human Settlement Layer (GHSL)
dd8931ad-4e86-4c70-8920-0934d04c8ca5,Singapore: Copernicus Global Human Settlement Layer (GHSL)
5566dedf-0bbc-4fe8-bd18-0f4d13ffbac6,Senegal: Copernicus Global Human Settlement Layer (GHSL)
bc1a4fdf-abc0-4aa1-b302-9aad04baebe0,Sudan: Copernicus Global Human Settlement Layer (GHSL)
fc28e032-c40b-4a12-858d-d0b8894fa02f,Saudi Arabia: Copernicus Global Human Settlement Layer (GHSL)
3d6cb524-552f-4604-815a-8873a40c2a17,Rwanda: Copernicus Global Human Settlement Layer (GHSL)
9bc967b1-06aa-44ba-a620-462cec8e9da0,Russian Federation: Copernicus Global Human Settlement Layer (GHSL)
80fd530e-eb0d-455a-a9b7-c0bbce18fef7,Romania: Copernicus Global Human Settlement Layer (GHSL)
56e45fd0-d24e-4a2f-9cca-b65baf563db6,Réunion: Copernicus Global Human Settlement Layer (GHSL)
4ea0b0dc-f2c8-49a6-9488-c078b03e702a,Qatar: Copernicus Global Human Settlement Layer (GHSL)
1270075e-89d6-4ce1-a4d4-1ff25f1383a9,French Polynesia: Copernicus Global Human Settlement Layer (GHSL)
498d729d-9e3e-4837-8c65-8cbca522b7f6,State of Palestine: Copernicus Global Human Settlement Layer (GHSL)
7bba37fe-0a1b-4e77-9e05-bb9bc8e1cdcb,Paraguay: Copernicus Global Human Settlement Layer (GHSL)
89392ade-8600-4e5c-a8b3-5601139dcf5f,Portugal: Copernicus Global Human Settlement Layer (GHSL)
9bddd411-7077-4a4a-b4f5-1e804dd8fca3,Democratic People's Republic of Korea: Copernicus Global Human Settlement Layer (GHSL)
10979889-163d-4c09-8fa3-a04c8fbe81fc,Puerto Rico: Copernicus Global Human Settlement Layer (GHSL)
77188ef2-4b8e-40b4-91f9-6adc070c09f3,Poland: Copernicus Global Human Settlement Layer (GHSL)
246fd2be-9fdb-4e76-a0ca-013356588fe3,Papua New Guinea: Copernicus Global Human Settlement Layer (GHSL)
d00669c3-4bf4-4335-8297-d5e11471b784,Palau: Copernicus Global Human Settlement Layer (GHSL)
