Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,
Approved,,HDX HAPI - Data by Country|Excluded datasets from clustering,data series|excluded,HDX Humanitarian API Data|HDX Humanitarian API Data|HDX Humanitarian API Data|HDX Humanitarian API Data|HDX Humanitarian API Data|HDX Humanitarian API Data,8|0,299,3213d754-b236-4310-98ee-fda19bb4040c|5da22d50-1ea1-465a-bfa9-c644387f7d5e|48782bbd-101e-448c-b853-62f1ea35f7fd|494dbba1-9455-4fce-8924-e68e6c20b999,HDX HAPI Data for Uzbekistan,HDX HAPI Data for Tunisia,HDX HAPI Data for Cuba,HDX HAPI Data for Brazil,,
Exclude,,UNHCR - Multi-Sector Needs Assessment |Excluded datasets from clustering,data series|excluded,UNHCR - The UN Refugee Agency,1|0,0,ea69ee8d-6a50-4c86-a0e0-733300b2fd48|954da970-6b67-4d78-a753-bcf4c30e9863,Republic of Moldova - Socio-Economic Assessment (SEA) - 2024,Republic of Moldova - Socio-Economic Assessment (SEIS) - 2024,,,,
Exclude,,Excluded datasets from clustering|UNOSAT - Flood and Landslide Extents|,excluded|excluded|excluded,United Nations Satellite Centre (UNOSAT),0|367|55,0,8cfc1632-3372-4d15-957f-d1519fdbd48d|3dc010fb-9939-4f6c-8056-f8cc98d4daef,UNOSAT Live Web Map-Flood in Bhutan 2025,UNOSAT Live Web map,,,,
Exclude,,|UNOSAT - Damage Assessment Overview Map|Excluded datasets from clustering,excluded|clean|excluded,United Nations Satellite Centre (UNOSAT),55|28|0,0,6e15f139-2126-4d11-a671-439751324682,UNOSAT Gaza Governorate Comprehensive Damage Assessment - 22- 23 September 2025,,,,,
Exclude,,Excluded datasets from clustering|UNOSAT - Gaza Strip Escalation of Hostilities,excluded|data series,United Nations Satellite Centre (UNOSAT),0|6,0,ca8dea1b-ffc8-49e6-8d29-e4cc1caad8c9,UNOSAT Gaza Governorate Comprehensive Damage Assessment - 23 September 2025,,,,,
Exclude,,Excluded datasets from clustering|UNHCR - WASH KAP Survey,excluded|data series,UNHCR - The UN Refugee Agency|UNHCR - The UN Refugee Agency,0|19,0,1c7ffbc0-2303-491a-b417-0df1b0807234|7edd855a-8c44-4d32-9ba4-e12d64ab0aea,"Uganda - Results Monitoring Survey (RMS), CATI - 2024","Uganda - Results Monitoring Survey (RMS), CAPI - 2024",,,,
Approved,,World Bank - Economic and Social development|World Bank - Economic Social Environmental Health Education Development and Energy|Hydrology,data series|data series|data series,World Bank Group|OCHA Regional Office for Asia and the Pacific (ROAP),1295|211|21,35,28c3dd33-1e0c-41a2-8dd4-4cbd5a3e2dab|b739c8a1-0d46-4d76-a33f-b7aa913d8cce|608fd076-500a-4c03-a1bd-f3917abeea0e|bf77940c-ac59-4427-a73b-6d656ed457f6|8516dd3e-672c-4b05-b5f3-8e8a31633b2b|100b7ae1-ca77-4663-916a-c6f5bcd1ea67,Federal Republic of Somalia - External Debt,Federal Republic of Somalia - Science and Technology,Federal Republic of Somalia - Public Sector,Federal Republic of Somalia - Private Sector,Federal Republic of Somalia - Financial Sector,Federal Republic of Somalia - Economy and Growth
