UNHCR - Rapid Household Assessments,
UNHCR - The UN Refugee Agency,
75458877-cc0a-4071-ba7d-66bbf4eafc58,Afghanistan - Rapid Household Assessments 2024 July - September
4bc95059-b542-4192-8eb4-35810d3a77d0,Afghanistan - Rapid Household Assessments 2024 October - December
0c49927a-0110-4b90-8a8e-920a7440d673,Afghanistan - Rapid Household Assessments 2024 January-June
8734156c-395f-415e-85aa-d39b262ad604,Afghanistan - Rapid Household Assessments 2023
1227eece-25a5-4cce-99f3-7f8db2b115f3,Afghanistan - Rapid Household Assessments 2022
