Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,
Approved,,WHO - Health Indicators,data series,World Health Organization|World Health Organization|World Health Organization|World Health Organization|World Health Organization|World Health Organization|World Health Organization|World Health Organization,200|8|8|8,313,d92013a4-e12b-4d57-b4bf-7ddcf80810fb,Sint Maarten (Dutch part) - Health Indicators,,,,,
Approved,,IDMC - Internal Displacement Updates,data series|data series,Internal Displacement Monitoring Centre (IDMC),1|252,290,98b2b5d5-a088-4139-9806-26e9e4019271,Russian Federation - Internal Displacements Updates (IDU) (event data),,,,,
Approved,,HDX HAPI - Data by Country,data series|excluded,HDX Humanitarian API Data|HDX Humanitarian API Data|HDX Humanitarian API Data|HDX Humanitarian API Data|HDX Humanitarian API Data|HDX Humanitarian API Data|HDX Humanitarian API Data|HDX Humanitarian API Data,8|0,299,caa4688a-aeea-42f6-b5b6-b644c07a662a|4aa85f50-acee-49d4-bc01-d5fdfdbd4526|65c0a262-e05e-4417-9e32-e975448e1052|bfa59e14-7bd6-4618-87a5-87cc8898fbf5|5712ac9c-8017-43f1-8c76-17b5e3456cb3|fd281c81-75e4-48cd-8e52-a5bd841333d5,HDX HAPI Data for Egypt,HDX HAPI Data for Niue,HDX HAPI Data for Martinique,HDX HAPI Data for Montserrat,HDX HAPI Data for French Guiana,HDX HAPI Data for Guadeloupe
Exclude,,Excluded datasets from clustering|UNOSAT - Flood and Landslide Extents|,excluded|excluded|excluded,United Nations Satellite Centre (UNOSAT),0|367|55,0,496fb2c1-8bcc-4322-bd9e-1314e453b66c|ad1f6ffa-09b8-4515-ba10-8165e7218685,"Satellite detected water extents in Swat, Lower Dir  and Malakand Districts, Khyber Pakhtunkhwa Province, Pakistan  as of 1 July 2025","Satellite detected water extents in Sindh, Balochistan and Punjab Provinces, Pakistan as of 1 July 2025",,,,
Approved,,UNHCR - Mixed Movements Monitoring|Excluded datasets from clustering,data series|excluded,UNHCR - The UN Refugee Agency,1|0,322,d552a7e7-fc05-4eee-854c-665868a00aa0|b64c3145-f48d-40db-90c4-368878afe876,,"Regional Mixed Movements Monitoring, 2025 Q1","Regional Mixed Movements Monitoring, 2024 Q4",,,
Exclude,,Excluded datasets from clustering|UNOSAT - Damage Assessment,excluded|excluded,United Nations Satellite Centre (UNOSAT),0|41,none|0|28,599a6729-5822-4349-afaa-cbb600042c6e,"M7.7 28 March 2025 Sagaing Earthquake, Satellite-Based Comprehensive Damage Assessment Report",,,,,
Exclude,,Excluded datasets from clustering|GRID3 - Settlement Extents,excluded|data series,GRID3 (Geo-Referenced Infrastructure and Demographic Data for Development),0|1,none|0|277,8badfbee-f457-4828-8054-5bb8b304a1e8,GRID3 COD - Settlement Names v5.0,,,,,
