EM-DAT - Natural Hazard-related Events - Country Profiles,
8796342f-bd70-4de5-95a3-b956f01407cd,"EM-DAT - Country Profiles, Costa Rica"
21123599-a529-4a72-a14e-7b26f339c151,"EM-DAT - Country Profiles, Botswana"
919fe15b-8924-4143-82d3-4355b50e2390,"EM-DAT - Country Profiles, Poland"
f756df53-fa13-403b-96c7-40ed9a34fe4b,"EM-DAT - Country Profiles, Bolivia (Plurinational State of)"
791739b3-6d7b-4730-b0ea-8205f7f6b666,"EM-DAT - Country Profiles, Tajikistan"
d878e87f-927b-467e-8c58-8277fd1538fc,"EM-DAT - Country Profiles, Spain"
8ea9e622-961c-42d3-b653-f364baf84c73,"EM-DAT - Country Profiles, Cameroon"
6bca4ad5-1bae-452e-98be-91b7b4b4529d,"EM-DAT - Country Profiles, State of Palestine"
dd518c9b-693f-4b66-98a1-63d48e952d64,"EM-DAT - Country Profiles, Montenegro"
eb2058b7-d2a8-4535-9df5-f940b8adb338,"EM-DAT - Country Profiles, China, Hong Kong Special Administrative Region"
960ab9c5-1912-41eb-beb1-608838b3d42d,"EM-DAT - Country Profiles, Cambodia"
d90e9030-465c-4c6c-a006-804050af6532,"EM-DAT - Country Profiles, Cuba"
4e54aba5-ef7b-41fa-a098-94e245bd1582,"EM-DAT - Country Profiles, Morocco"
4f7c7a43-4d4d-4b06-8f85-74120bf5b250,"EM-DAT - Country Profiles, Guinea"
e436aaa1-5c9c-4405-8b41-081ac542fde2,"EM-DAT - Country Profiles, Malaysia"
b8c4c77c-e7e1-4b95-930d-cff9aafacf00,"EM-DAT - Country Profiles, Romania"
a6dc0d41-1d5f-40e8-9c1a-a6c8370857c2,"EM-DAT - Country Profiles, Portugal"
37a2099b-eec0-4f31-98e9-8a0f1f522398,"EM-DAT - Country Profiles, Oman"
de6d52c4-0310-47c0-84fc-5108d2fb46ea,"EM-DAT - Country Profiles, Tonga"
1abb28d3-6748-43e3-94ad-92bbea30d9e7,"EM-DAT - Country Profiles, Chad"
982bb9ef-b909-4cf2-8a73-ac97b519339c,"EM-DAT - Country Profiles, Pakistan"
1ec0f252-367e-44cb-8cab-927c9e9fd807,"EM-DAT - Country Profiles, Panama"
21e1ad4e-c904-4644-b382-ce5b70ec54ae,"EM-DAT - Country Profiles, Venezuela (Bolivarian Republic of)"
218eebc8-1099-4e7d-b40b-e3aefafac05d,"EM-DAT - Country Profiles, Slovakia"
a996efaa-d8f0-44d7-9c27-417720ae2328,"EM-DAT - Country Profiles, Sri Lanka"
3b0ac27d-15f0-4f55-a267-f62e600e22ea,"EM-DAT - Country Profiles, Iran (Islamic Republic of)"
9705e5f7-5320-4dde-912e-22a31c82200e,"EM-DAT - Country Profiles, Yemen"
a1db37ca-dac1-4fa9-9afb-87b076c251ee,"EM-DAT - Country Profiles, United Republic of Tanzania"
0f23ff8b-e0cb-4cec-8732-b62eaba7de24,"EM-DAT - Country Profiles, Russian Federation"
2a671493-2b2c-4d49-ad1d-98b9455fcfc2,"EM-DAT - Country Profiles, Burundi"
8c76e3f3-e281-45ae-8e13-b33b450cba29,"EM-DAT - Country Profiles, France"
4028ca2e-1d08-44db-8188-2a0b740dfa43,"EM-DAT - Country Profiles, Angola"
28605cb4-9f34-4e78-b449-808bc757845a,"EM-DAT - Country Profiles, South Africa"
37ba36e9-7492-48dd-a867-3eeb3ad139d5,"EM-DAT - Country Profiles, Nicaragua"
